本文		ほんぶｎ
会話		かいわ
先生		せんせい
皆さん		みなさｎ
学生		がくせい
中国		ちゅうごく
方			かた
出身		しゅっしｎ
私			わたし
趣味		しゅみ
席			せき
家族		かぞく
写真		しゃしｎ
四人家族	よにんかぞく
三人家族	さんいんかぞく
父			ちち
母			はは
医者		いしゃ
高校		こうこう
教師		きょうし
僕			ぼく
会社員		かいしゃいｎ
主婦		しゅふ
妹			いもうと
大学生		だいがくせい
二年生		にねんせい
犬			いぬ
時代		じだい
恋人		こいびと
兄			あに
姉			あね
弟			おとうと
新聞		しんぶｎ
本			ほｎ
地図		ちず
秋			あき
季節		きせつ
天気		てんき
空			そら
青い		あおい
高い		たかい
涼しい		すずしい
気持ち		きもち
夏			なつ
暑い		あつい
東京		とうきょう
蒸し暑い	むしあつい
冬			ふゆ
寒い		さむい
風			かぜ
冷たい		つめたい
強い		つよい
去年		きょねｎ
暖冬		だんとう
昨日		きのう
今日		きょう
気分		きぶｎ
勉強		べんきょう
一限目		いちげんめ
日本語		にほんご
難しい		むずかしい
発音		はつおん
助詞		じょし
使い方		すかいかた
頑張ります	がんばります
偉い		えらい
一昨年		おととし
今年		ことし
来年		らいねｎ
再来年		さらいねｎ
先々月		せんせんげつ
先月		せんげつ
今月		こんげつ
来月		らいげつ
再来月		さらいげつ
一昨日		おととい
明後日		あさって
山			やま
春			はる
暖かい		あたたかい
易しい		たさしい
部屋		へや
中			なか
明るい		あかるい
安い		やすい
紅葉		もみじ
有名		ゆうめい
故郷		こきょう
郊外		こうがい
静か		しずか
所			ところ
綺麗		きれい
人			ひと
多い		おおい
賑やか		にぎやか
以前		いぜｎ
交通		こうつう
便利		べんり
子供		こども
時			とき
都会		とかい
今			いま
苺			いちご
産地		さんち
大好き		だいすき
爽やか		さわやか
嫌い		きらい
田舎		いなか
初めて		はじめて
楽しい		たのしい
上			うえ
見事		みごと
色			いろ
鮮やか		あざやか
川			かわ
親切		しんせつ
寺			てら
友達		ともだち
簡単		かんたｎ
建物		たてもの
病院		びょういｎ
本屋		ほんや
忙しい		いそがしい
野菜		やさい
果物		くだもの
桜			さくら
国花		こっか
牡丹		ぼたｎ
本部		ほんぶ
学部		がくぶ
幾つ		いくつ
四つ		よっつ
国際交流	こくさいこうりゅう
大学		だいがく
駅			えき
近い		ちかい
教育学部	きょういくがくぶ
人文学部	じんぶんがくぶ
国際学部	こくさいがくぶ
工学部		こうがくぶ
新しい		あたらしい
名			めい
分			ふｎ
分かる		わかる
池			いけ
鯉			こい
居る		いる
店員		てんいｎ
二人		ふたり
生協		せいきょう
本			ほｎ
文房具		ぶんぼうぐ
色々		いろいろ
お菓子		おかし
売店		ばいてｎ
少ない		すくない
円			えｎ
安い		やすい
品物		しなもの
店			みせ
宜しい		よろしい
結構		けっこう
何か		なにか
必要		ひつよう
家			いえ
机			つくえ
教室		きょうしつ
留学生		りゅうがくせい
雑誌		ざっし
桃			もも
誰			だれ
三十分		さんじゅっぷｎ
電話		でんわ
庭			にわ
桜の木		さくらのき
電子辞書	でんしじしょ
お金		おかね
公園		こうえｎ
傍			そば
男の人		おとこのひと
寮			りょう
電池		でんち
行く		いく
電車		でんしゃ
来る		くる
授業		じゅぎょう
階			かい
大きい		おおきい
教室		きょうしつ
お宅		おたく
遠い		とおい
学校		がっこう
自転車		じてんしゃ
利用		りよう
金曜日		きんようび
午後		ごご
講演会		こうえんかい
何時		なんじ
始まる		はじまる
時半		じはｎ
暫く		しばらく
日曜日		にちようび
同級生		どうきゅうせい
達			たち
景色		けしき
大勢		おおせい
記念碑		きねんひ
見る		みる
撮影		さつえい
写真を撮る	しゃしんをとる
昼食を取る	ちゅうしょくをとる
近く		ちかく
小さな		ちいさな
食べる		たべる
良い		よい
起きる		おきる
遊ぶ		あそぶ
会議		かいぎ
終わる		おわる
情報		じょうほう
食事		しょくじ
京都		きょうと
海			うみ
地下鉄		ちかてつ
午前		ごぜｎ
映画館		えいがかｎ
ご飯		ごはｎ
漫画		まんが
林檎		りんご
買う		かう
一緒に		いっしょに
休み		やすみ　
